"webpage_design","discount_framing","conversion_score"
"D1","Low",31.76
"D1","Low",33.08
"D1","Low",40.23
"D1","Low",34.28
"D1","Low",34.52
"D1","Low",40.86
"D1","Low",35.84
"D1","Low",28.94
"D1","Low",31.25
"D1","Low",32.22
"D1","Low",38.9
"D1","Low",35.44
"D1","Low",35.6
"D1","Low",34.44
"D1","Low",31.78
"D1","Low",41.15
"D1","Low",35.99
"D1","Low",26.13
"D1","Low",36.81
"D1","Low",32.11
"D1","Low",29.73
"D1","Low",33.13
"D1","Low",29.9
"D1","Low",31.08
"D1","Low",31.5
"D1","Low",27.25
"D1","Low",37.35
"D1","Low",34.61
"D1","Low",29.45
"D1","Low",39.02
"D1","Low",35.71
"D1","Low",32.82
"D1","Low",37.58
"D1","Low",37.51
"D1","Low",37.29
"D1","Low",36.75
"D1","Low",36.22
"D1","Low",33.75
"D1","Low",32.78
"D1","Low",32.48
"D1","Low",31.22
"D1","Low",33.17
"D1","Low",28.94
"D1","Low",42.68
"D1","Low",38.83
"D1","Low",29.51
"D1","Low",32.39
"D1","Low",32.13
"D1","Low",37.12
"D1","Low",33.67
"D1","Low",35.01
"D1","Low",33.89
"D1","Low",33.83
"D1","Low",39.47
"D1","Low",33.1
"D1","Low",40.07
"D1","Low",27.8
"D1","Low",36.34
"D1","Low",34.5
"D1","Low",34.86
"D1","Low",35.52
"D1","Low",31.99
"D1","Low",32.67
"D1","Low",29.93
"D1","Low",29.71
"D1","Low",35.21
"D1","Low",35.79
"D1","Low",34.21
"D1","Low",37.69
"D1","Low",42.2
"D1","Low",32.04
"D1","Low",24.76
"D1","Low",38.02
"D1","Low",31.16
"D1","Low",31.25
"D1","Low",38.1
"D1","Low",32.86
"D1","Low",29.12
"D1","Low",34.73
"D1","Low",33.44
"D1","Low",34.02
"D1","Low",35.54
"D1","Low",32.52
"D1","Low",36.58
"D1","Low",33.12
"D1","Low",35.33
"D1","Low",38.39
"D1","Low",35.74
"D1","Low",32.7
"D1","Low",38.6
"D1","Low",37.97
"D1","Low",36.19
"D1","Low",34.95
"D1","Low",31.49
"D1","Low",39.44
"D1","Low",31.6
"D1","Low",42.75
"D1","Low",40.13
"D1","Low",33.06
"D1","Low",29.89
"D1","Low",31.16
"D1","Low",35.03
"D1","Low",33.01
"D1","Low",32.61
"D1","Low",30.19
"D1","Low",33.82
"D1","Low",30.86
"D1","Low",27.33
"D1","Low",32.48
"D1","Low",37.68
"D1","Low",31.7
"D1","Low",36.43
"D1","Low",27.53
"D1","Low",33.78
"D1","Low",36.08
"D1","Low",35.2
"D1","Low",34.42
"D1","Low",31.44
"D1","Low",30.6
"D1","Low",29.9
"D1","Low",34.47
"D1","Low",30.21
"D1","Low",32.04
"D1","Low",32.98
"D1","Low",41.38
"D1","Low",31.39
"D1","Low",34.94
"D1","Low",34.31
"D1","Low",30.15
"D1","Low",33.71
"D1","Low",39.78
"D1","Low",35.81
"D1","Low",34.16
"D1","Low",32.31
"D1","Low",25.79
"D1","Low",38.53
"D1","Low",28.16
"D1","Low",36.96
"D1","Low",41.64
"D1","Low",28.22
"D1","Low",36.81
"D1","Low",32.95
"D1","Low",27.71
"D1","Low",27.94
"D1","Low",27.59
"D1","Low",31.88
"D1","Low",28.15
"D1","Low",36.75
"D1","Low",42.4
"D1","Low",28.85
"D1","Low",37.15
"D1","Low",37.08
"D1","Low",35.33
"D1","Low",29.97
"D1","Low",33.52
"D1","Low",32.88
"D1","Low",36.25
"D1","Low",32.51
